"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5080","5720","5920","6270","5720","6390","6420","7070","7440","7540","7630","7990","7590","8290","8530","9340","10370","11560","12270","11660","12510","13930","14650","",
"Sub-Saharan Africa (IFC classification)","CAA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","500","460","460","480","520","490","520","530","560","540","570","590","570","600","620","670","730","760","820","870","920","980","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18860","18870","19170","19900","21060","21950","22500","23660","24630","26140","27690","28470","29150","30510","32100","34380","36570","37880","38580","37220","38380","41330","42270","",
"East Asia and the Pacific (IFC classification)","CEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25940","26250","26470","26940","27410","28170","28970","30830","31870","32640","34890","34820","35710","37080","38360","40370","44320","45060","44740","48380","51670","51770","55000","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4140","4590","5290","5790","6140","6950","7600","8180","8540","8420","9320","9720","9940","10320","10880","11700","13400","14660","14950","14840","17010","19030","20450","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970","1080","1240","1430","1630","1800","2000","2200","2370","2560","2830","3110","3430","3850","4340","4930","5720","6700","7480","8130","9010","9940","10900","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","1740","1730","1710","1770","1880","2040","2160","2240","2240","2150","2180","2150","2140","2230","2300","2350","2410","2480","2540","2580","2460","2680","",
"Latin America and the Caribbean (IFC classification)","CLA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1640","1550","1500","1450","1400","1430","1490","1550","1620","1680","1710","1760","1830","1940","2040","2090","2210","2250","2330","2360","2390","2470","2550","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2830","2940","3130","2860","2850","2000","2040","2500","2700","2390","2590","2670","2830","2920","2790","2940","3120","3180","3570","3690","4080","4140","4540","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4770","4980","5270","5470","5900","6220","6320","6530","6550","6260","6540","6660","6810","7050","7510","7990","8660","9340","9690","9800","10150","10820","11380","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170","1110","1230","1250","1180","1220","1190","1230","1220","1240","1250","1290","1320","1340","1340","1410","1440","1450","1450","1450","1460","1480","1520","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1010","1120","1210","1430","1610","1780","1980","2200","2420","2750","2860","2970","3120","3470","3740","4110","4920","5310","5460","5600","6020","6530","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4570","4760","5200","5580","5890","6060","6100","6360","6700","6570","6960","7330","7630","7980","8580","9340","10410","10970","11540","11070","11790","12460","13070","",
"South Asia (IFC classification)","CSA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5248.17924673021","5494.19822243946","5661.61211172683","6101.87910757993","6319.3450157348","6604.75704629493","6944.4617462739","7012.51995375111","7222.23338884285","7452.27703323535","7810.34518791437","8065.4054320365","8626.57763210607","9424.88218134389","10288.6988526586","11037.2736821699","12381.1676923645","13064.055663852","13492.7817326375","12950.6898885123","13124.5468715162","12961.2795292494","13220.32974401","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8580","7880","7100","6150","6290","6500","7130","7430","7500","8050","8670","9160","9380","9930","10750","12340","14290","15660","16660","17040","17680","18520","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12500","12680","13760","13870","14650","15060","15460","15800","18230","17360","18190","19810","20670","21330","22190","23400","25100","26350","29790","31230","30300","31540","29840","",
