nom,name,an2014,dif2014,sco2014,an2013,sco2013,an2012,iso,capitale,latitude,longitude
Cap-Vert,Cape Verde,24,(+ 1),14.32,25,14.33,9,CPV,Praia,15.02N,23.34W
Chili,Chile,58,(+ 3),25.8,60,26.24,80,CHL,Santiago,33.24S,70.40W
Chine,China,175,(- 1),72.91,173,73.07,174,CHN,Beijing,39.55N,116.20E
Chypre,Cyprus,25,(- 1),14.45,24,13.83,16,CYP,Nicosia,35.10N,33.25E
Chypre (partie Nord),Cyprus North,83,(+ 12),29.54,94,29.34,102,NCYP,Nicosie,35.10N,33.21E
Colombie,Colombia,126,(+ 4),36.68,129,37.48,143,COL,Bogota,04.34N,74.00W
Comores,Comoros,53,(- 1),24.52,51,24.52,45,COM,Moroni,11.41N,43.16E
Congo,Republic of the Congo,82,(- 5),29.44,76,28.2,90,COG,Brazzaville,4.14S,15.1450E
Corée du Nord,Democratic People's Republic of Korea,179,( - ),81.96,178,83.9,178,PRK,Pyongyang,39.2N,125.45E
Corée du Sud,Republic of Korea,57,(- 6),25.66,50,24.48,44,KOR,Séoul,37.35N,127E
Costa Rica,Costa Rica,21,(- 3),12.23,18,12.08,19,CRI,San Jose,09.55N,84.02W
Côte d'Ivoire,Côte d'Ivoire,101,(- 4),31.63,96,29.77,159,CIV,Yamoussoukro,6.51N,5.18W
Croatie,Croatia,65,( - ),26.82,64,26.61,68,HRV,Zagreb,45.50N,15.58E
Cuba,Cuba,170,(+ 2),70.92,171,71.64,167,CUB,Havana,23.08N,82.22W
Danemark,Denmark,7,(- 1),7.43,6,7.08,10,DNK,Copenhagen,55.41N,12.34E
Djibouti,Djibouti,169,(+ 1),70.34,167,67.4,159,DJI,Djibouti,11.08N,42.20E
Egypte,Egypt,159,( - ),51.89,158,48.66,166,EGY,Cairo,30.01N,31.14E
El Salvador,El Salvador,38,(+ 1),21.57,38,22.86,37,SLV,San Salvador,13.40N,89.10W
Emirats arabes unis,United Arab Emirates,118,(- 3),36.03,114,33.49,112,ARE,Abu Dhabi,24.28N,54.22E
Equateur,Ecuador,95,(+ 25),31.16,119,34.69,104,ECU,Quito,00.15S,78.35W
Erythrée,Eritrea,180,( - ),84.83,179,84.83,179,ERI,Asmara,15.19N,38.55E
Espagne,Spain,35,(+ 2),20.63,36,20.5,39,ESP,Madrid,40.25N,03.45W
Estonie,Estonia,11,( - ),9.63,11,9.26,3,EST,Tallinn,59.22N,24.48E
Etats-Unis,United States,46,(- 13),23.49,32,18.22,47,USA,Washington,38.53N,77.02W
Ethiopie,Ethiopia,143,(- 5),40.58,137,39.57,127,ETH,Addis Ababa,09.02N,38.42E
Fidji,Fiji,107,(+ 1),32.57,107,32.69,117,FJI,Suva,18.06S,178.30E
Finlande,Finland,1,( - ),6.4,1,6.38,1,FIN,Helsinki,60.15N,25.03E
France,France,39,(- 1),21.89,37,21.6,38,FRA,Paris,48.50N,02.20E
Gambie,Gambia,155,(- 2),46.42,152,28.69,141,GMB,Banjul,13.28N,16.40W
Géorgie,Georgia,84,(+ 17),29.78,100,45.09,104,GEO,T'bilisi,41.43N,44.50E
Ghana,Ghana,27,(+ 3),16.29,30,30.09,41,GHA,Accra,05.35N,00.06W
Grèce,Greece,99,(- 14),31.33,84,17.27,70,GRC,Athens,37.58N,23.46E
Guatemala,Guatemala,125,(- 29),36.61,95,28.46,97,GTM,Guatemala,14.40N,90.22W
Guinée,Guinea,102,(- 15),31.67,86,29.39,86,GIN,Conakry,09.29N,13.49W
Guinée équatoriale,Equatorial Guinea,168,(- 1),67.95,166,28.49,161,GNQ,Malabo,03.45N,08.50E
Guinée-Bissau,Guinea-Bissau,86,(+ 7),30.05,92,67.2,75,GNB,Bissau,11.45N,15.45W
Guyana,Guyana,67,(+ 3),27.08,69,28.94,58,GUY,Georgetown,06.50N,58.12W
Haïti,Haiti,47,(+ 3),23.53,49,27.08,52,HTI,Port-au-Prince,18.40N,72.20W
Honduras,Honduras,129,(- 1),37.14,127,24.09,135,HND,Tegucigalpa,14.05N,87.14W
Hong-Kong,Hong Kong,61,(- 2),26.55,58,36.92,54,HKG,#N/A,22.15N,114.10E
Hongrie,Hungary,64,(- 7),26.73,56,26.16,40,HUN,Budapest,47.29N,19.05E
Inde,India,140,(+ 1),40.34,140,26.09,131,IND,New Delhi,28.37N,77.13E
Indonésie,Indonesia,132,(+ 8),38.15,139,41.22,146,IDN,Jakarta,06.09S,106.49E
Irak,Iraq,153,(- 2),45.44,150,41.05,152,IRQ,Baghdad,33.20N,44.30E
Iran,Islamic Republic of Iran,173,(+ 2),72.29,174,44.67,175,IRN,Teheran,35.4029N,51.2520E
Irlande,Ireland,16,(- 1),10.87,15,73.4,15,IRL,Dublin,53.21N,06.15W
Islande,Iceland,8,(+ 1),8.5,9,10.06,6,ISL,Reykjavik,64.10N,21.57W
Israël,Israel,96,(+ 17),31.19,112,8.49,92 - 133,ISR,Jerusalem,31.71N,35.10E
Italie,Italy,49,(+ 9),23.75,57,32.97,61,ITA,Rome,41.54N,12.29E
Jamaïque,Jamaica,17,(- 4),10.9,13,26.11,16,JAM,Kingston,18.00N,76.50W
Japon,Japan,59,(- 5),26.02,53,9.88,22,JPN,Tokyo,35.41N,139.46E
Jordanie,Jordan,141,(- 6),40.42,134,25.17,128,JOR,Amman,31.57N,35.52E
Kazakhstan,Kazakhstan,161,( - ),54.94,160,38.47,154,KAZ,Astana,51.10N,71.30E
Kenya,Kenya,90,(- 18),30.7,71,55.08,84,KEN,Nairobi,01.17S,36.48E
Kirghizstan,Kyrgyzstan,97,(+ 10),31.24,106,27.8,108,KGZ,Bishkek,42.54N,74.46E
Kosovo,Kosovo,80,(+ 6),29.29,85,32.2,86,RKS,Priština,42.40N,21.10E
Koweït,Kuwait,91,(- 13),30.71,77,28.47,78,KWT,Kuwait,29.30N,48.00E
Laos,Lao People's Democratic Republic,171,(- 2),71.22,168,28.28,165,LAO,Vientiane,17.58N,102.37E
Lesotho,Lesotho,74,(+ 8),28.36,81,67.99,63,LSO,Maseru,29.18S,27.30E
Lettonie,Latvia,37,(+ 3),21.1,39,28.36,50,LVA,Riga,56.53N,24.08E
Liban,Lebanon,106,(- 4),31.89,101,22.89,93,LBN,Beirut,33.53N,35.31E
Liberia,Liberia,89,(+ 9),30.65,97,30.15,110,LBR,Monrovia,06.18N,10.47W
Libye,Libya,137,(- 5),39.84,131,29.89,154,LBY,Tripoli,32.54N,13.1109E
Liechtenstein,Liechtenstein,6,(+ 1),7.02,7,37.86,-,LIE,Vaduz,47.08N,9.31E
Lituanie,Lithuania,32,(+ 2),19.2,33,7.35,30,LTU,Vilnius,54.38N,25.19E
Luxembourg,Luxembourg,4,( - ),6.7,4,18.24,6,LUX,Luxembourg,49.37N,06.09E
Macédoine,Macedonia,123,(- 6),36.43,116,6.68,94,MKD,Skopje,41.5954N,21.2552E
Madagascar,Madagascar,81,(+ 8),29.38,88,34.27,84,MDG,Antananarivo,18.55S,47.31E
Malaisie,Malaysia,147,(- 1),42.73,145,28.62,122,MYS,Kuala Lumpur,03.09N,101.41E
Malawi,Malawi,73,(+ 3),28.29,75,42.73,146,MWI,Lilongwe,14.00S,33.48E
Maldives,Maldives,108,(- 4),33.11,103,28.18,73,MDV,Male,04.00N,73.28E
Mali,Mali,122,(- 22),36.29,99,31.1,25,MLI,Bamako,12.34N,07.55W
Malte,Malta,51,(- 5),23.84,45,30.03,58,MLT,Valletta,35.54N,14.31E
Maroc,Morocco,136,(+ 1),39.72,136,23.3,138,MAR,Rabat,34.02N,6.51W
Maurice,Mauritius,70,(- 7),27.69,62,39.04,54,MUS,Port-Louis,20.936S,57.3036E
Mauritanie,Mauritania,60,(+ 8),26.53,67,26.47,67,MRT,Nouakchott,20.10S,57.30E
Mexique,Mexico,152,(+ 2),45.04,153,26.76,149,MEX,Mexico,19.20N,99.10W
Moldavie,Republic of Moldova,56,( - ),25.35,55,45.3,53,MDA,Chi?in?u,47N,28.55E
