"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","941.919930454288","1061.66043900776","1307.39641279195","1565.64863547914","1784.41512313895","2000.7520716673","2255.36910429153","2595.02427421436","3070.43936060873","3806.14955426997","4512.53967952176","5415.84780956705","6025.84767755551","6325.24090483941","6575.48066748281","6680.37575242046","7037.93893828045","7514.48354706237","7230.32068222522","7702.6704006853","8027.63082511141","8355.61833591538","8572.37332938458","10144.4131381116","9855.53812128073","10077.5443493079","10496.8203536397","11076.063615527","12135.5410292779","13675.0852387123","15353.9141948186","15871.5001377785","14589.5952662976","13315.2432671801","12420.1627617953","12733.4904316795","",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1810.83719320495","1878.25764483499","1854.76109248785","1967.32109370166","2131.57852957848","2281.19714110414","2343.61079223686","2579.89142074193","2723.71970695327","2991.24188887176","3304.58912098708","3494.80017105735","3948.92970546953","4769.66108690052","6482.50888419686","7001.97493692625","7484.20447672689","7773.39540087724","8250.32419198198","9291.61988023456","10206.7560690941","11849.9994216989","12784.7690723871","11533.3441543307","12454.5517172396","11457.7679431781","11393.4535580669","11665.0229368813","14331.091816881","17894.2475346295","18247.3945613005","18837.1892754261","18599.0011714271","17658.0794412451","18080.6975287398","20375.3017498037","21931.0614472639","23536.6834905944","21352.3148701425","20546.7427130954","21678.4936778334","19504.5725454121","20071.966131923","23455.8423724395","30464.0037639423","34011.7386356693","36113.0023997107","40996.3179093863","49672.7480091904","42721.8849384517","51824.7984202038","62080.9824161734","67441.59338677","",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2037.61667298995","2356.51555832609","2894.00631846862","3850.74801294419","4583.1794303375","5231.31468192568","5620.04520077486","6740.65330381679","8121.16348743528","9693.14124193311","10757.8694612261","9288.82216971822","9313.66251302457","9439.41725668652","8898.68818643313","9077.85990793739","12948.6533088327","16224.3453533743","17398.0109578617","17289.4650220262","21458.2327210484","22180.6553471394","24624.537839889","23834.1070003374","25383.1988078442","30014.2727535818","29485.6082075795","26082.4585078064","26743.7919407516","26563.2095389091","23974.1830690696","23833.8342435144","25679.0943977121","31268.6306973177","35662.211822391","37067.3238286743","39299.6142950584","45181.4675943835","49679.110704484","45872.2209766138","44723.2039436695","49441.1688808625","46821.8605694725","",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.324491677","1209.23749284959","676.15151145252","530.090379806798","436.19055858199","397.198116117247","409.216745216782","505.560573228931","561.910301735455","573.8902561721","655.097432602586","703.671250439944","763.101212220367","883.614008967961","1045.02641527642","1578.36733030667","2472.99747579405","3851.32566367549","5574.60380218613","4950.29479142375","5843.16975329757","7189.81515142228","7165.03195636467","",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.3330736846638","71.4694335501474","73.7603277929598","78.8741609195558","86.5716238047223","51.6379367564512","52.4574885176544","55.1129068759763","55.2253855904549","56.0591138522018","70.2125072071903","72.0842713833349","69.5746444664999","84.9411349731773","95.2752739525489","114.492166738147","119.74667878605","143.130609651201","155.75823300567","194.706805552307","222.880939583415","228.559792788724","232.42352230036","241.350850951086","213.443448147937","240.875984498507","243.479064540293","221.564795867671","204.968272900861","204.414540995062","201.949143785129","203.033802432218","184.106198999477","156.342253392124","151.335510575276","161.101577901907","138.062807442629","152.741206971868","138.619149063048","123.45966674969","130.423848462325","128.198058276467","117.281401276527","108.014551026407","121.859303582582","143.78352946677","158.305023201892","162.827509358887","186.871748869565","194.896666130154","219.529799450793","246.91432710688","251.014522983849","",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2732.22422510387","3045.40216312673","3784.99276829719","4841.30706364013","5664.00565681132","6619.80730160472","7154.88407158016","8324.37308397304","10164.5199895328","11666.8555677972","12707.420266708","10493.5003639605","9230.12648079131","8738.5567750814","8354.32582434935","8644.30247334304","12021.9054128857","14951.6167505913","16191.579347494","16323.916634057","20349.6248728198","20785.5388830787","23088.1246456956","22012.6931188166","23913.8852430752","28067.9697425056","27154.3368805058","24532.026923492","25051.3399582643","24886.8656637976","22697.0123033035","22600.9161499186","24465.3335045586","30039.0922372354","34706.6939010393","36011.4694012925","37918.7732033123","43255.3952830783","47374.4481255186","43834.1028591665","42960.419693665","46422.122219905","43426.5888756954","",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225850447254","95.5669219953472","94.451874340216","99.8404446955568","104.323758979485","110.132611159285","112.973547067691","112.027640265387","117.022462835667","116.188506373991","114.736663509832","112.745518173398","135.008671843252","162.174943084839","174.170725523615","207.440589724803","208.760440067946","218.529290620153","263.63107808554","327.823149956665","377.95663608779","337.794506776359","322.478807284201","270.767092557164","252.435659777641","243.911509475116","302.6655703499","343.67916526921","345.80926497554","310.632725813062","391.893446788018","383.295362342678","315.218286816776","407.450188061457","276.159121065847","362.470949442798","382.285440636074","356.578260488465","375.0241065123","369.244974806104","339.473025693319","348.334549531992","378.658708434156","464.046143046791","511.292978867427","532.610998254341","557.232446905139","632.360869591351","739.256127626492","712.616526986457","689.648331344157","745.915474802323","751.916316790793","",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.4247056865246","71.5582088992003","76.520610972212","78.3721024896116","80.4727076055827","81.7251198708372","82.545624624061","84.36313619086","84.7330328292247","86.5202176682609","81.499931205429","84.2878271085807","99.3267873369654","113.780465171729","124.358933744975","152.7281454003","155.648936572066","176.78325009122","225.941557619927","262.075837239001","282.685785439272","254.230804300942","245.094628890051","217.994670856912","193.843159631187","200.894264501183","256.762445666126","291.131796118384","313.061833852536","304.853272652455","351.979249110808","346.410431974456","240.963399511296","244.127150174085","193.070242373387","235.832231814855","249.364679053716","229.505225653189","255.738905037583","267.211582208839","224.928647089409","235.461798886493","260.6935797372","332.227075619033","371.217986822535","406.998804328341","422.844817464401","474.589978120844","569.639293425797","553.042374261364","592.60746992057","649.925229986443","651.653278099686","",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","86.296732230683","94.5485569834109","96.9675358593636","98.674346723199","97.0405528222099","103.262133033953","109.092098725925","118.976239956472","118.960062913947","130.887076469777","135.618702166279","129.411780910951","91.4919170870712","115.937029787528","176.522227293289","269.124770071818","136.820059579654","127.189491544838","170.253693791666","193.982258083142","219.859297892266","232.58143146752","207.337210353048","192.223091020051","213.404776886421","229.22635429914","217.752940442175","235.979688318232","251.032427315501","264.78966155159","283.97672871853","281.598770951065","278.338143276448","279.064341335282","288.431697328994","316.508586893552","332.236257821645","338.698568200359","345.875938665419","351.582591038389","355.973434120504","348.75689288747","347.218612304559","372.98052036158","400.472474922602","421.123311373275","427.291166977892","467.136361352364","537.63849712654","597.711802911515","664.064231684516","731.894167840472","752.156052513804","",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2261.41728355722","2255.76125797376","2220.82318344579","1897.07856394704","1943.06261030635","1959.93877827177","2261.7577129916","3168.86512466726","2561.10870475546","2449.80083344072","2377.33578626531","1267.73441441504","1214.48493254431","1278.5173915088","1149.37799254941","1554.72172292877","1063.07566098989","1209.50274411588","1581.82457412776","1611.12900386908","1579.34823955798","1729.19115686112","2030.78852342214","2641.78772313452","3249.28739637349","3733.26316099698","4313.43063643639","5581.41413243854","6916.84627968783","6524.15687936845","6453.47671076177","7286.64390183675","6976.85344431751","",
"Bahrain","BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","8537.59730650467","9269.14628208229","9446.15832539159","9421.45232747978","9590.77742418184","8706.82937897674","7041.42332005001","7554.51201660793","7957.79006454201","8029.98708735837","8528.76005935056","9057.72346871427","9088.57944311585","9707.22283171814","10138.1239913698","10376.3647760188","10525.9500320722","10628.0592574181","10013.879479798","10330.8661540897","13562.7341428428","12846.4533329503","13149.3132931579","14344.9282229448","16027.3447560328","18156.3774747039","19459.7312136457","21049.5734146754","23037.8785746728","19251.1237340956","20545.9694536416","22466.8838770729","23039.6842219595","",
