Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","172.93","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","184.87","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","201.56","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","214.32","","Official data"
"CP","Consumer Price Indices","5000","World","7005","May","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","229.41","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.34","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.28","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","107.51","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","113.69","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","121.52","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","126.81","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","134.03","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","143.30","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","164.79","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","173.23","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","185.19","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","202.62","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","214.45","","Official data"
"CP","Consumer Price Indices","5000","World","7006","June","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","230.97","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.25","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.38","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","107.67","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","113.43","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","121.66","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","127.79","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","133.95","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","144.94","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","166.42","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","174.85","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","186.72","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","204.10","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","215.84","","Official data"
"CP","Consumer Price Indices","5000","World","7007","July","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","232.91","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.66","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.90","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","108.41","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","113.89","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","122.74","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","128.18","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","134.93","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","147.09","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","167.54","","Official data"
